Key,grp,N,mmHg,sd,se,ci
Diastolic (mmHg),Pre admission,80,86.5625,12.872150047115014,1.4391501260963144,2.8645566710411248
Diastolic (mmHg),Post admission 3.125 QD,47,58.57446808510638,10.083875809496595,1.4708844592180454,2.9607368544789874
Diastolic (mmHg),D/C Carvedilol,50,57.78,10.521678301759387,1.4879900153274839,2.9902278878976696
Diastolic (mmHg),Carvedilol Restart: 3.125 mg QD,69,59.130434782608695,7.7723360169980635,0.9356793018755615,1.8671189766746485
Diastolic (mmHg),Carvedilol 2: 3.125 mg BID,29,65.96551724137932,10.864367572878814,2.017462410525528,4.132584410023941
Diastolic (mmHg),Carvedilol 3: 3.125 mg BID,160,60.75625,8.525025590621691,0.6739624494396679,1.3310732851908327
Systolic (mmHg),Pre admission,80,135.575,19.88942534379335,2.2237053551064525,4.426174791561501
Systolic (mmHg),Post admission 3.125 QD,47,102.1063829787234,17.798673671339515,2.596203383743738,5.225886365037499
Systolic (mmHg),D/C Carvedilol,50,118.4,18.525217231368377,2.6198613454508917,5.264808484530205
Systolic (mmHg),Carvedilol Restart: 3.125 mg QD,69,110.15942028985508,14.058306303733117,1.692421197315958,3.377173918137291
Systolic (mmHg),Carvedilol 2: 3.125 mg BID,29,115.10344827586206,13.061242632816393,2.4254118677133674,4.968230991619005
Systolic (mmHg),Carvedilol 3: 3.125 mg BID,160,108.15625,12.13060315973068,0.959008384409607,1.8940379272212255
